id,name,type,description,usage_steps/0,usage_steps/1,usage_steps/2,usage_steps/3,usage_steps/4,safety_precautions/0,safety_precautions/1,maintenance/0,maintenance/1,common_errors/0,common_errors/1,keywords/0,keywords/1,keywords/2,keywords/3,department
ecg,ECG Machine,Diagnostic,Records the electrical activity of the heart to detect cardiac abnormalities.,Connect the machine to a power source.,"Attach electrodes to the patient's chest, arms, and legs.",Ensure the patient is relaxed and still.,Press 'Start' to begin recording.,Interpret the results displayed or printed.,Do not use with wet hands.,Check cables for damage before use.,Clean electrodes after each use.,Calibrate the machine monthly.,Leads not attached properly: Reattach and retry.,No signal: Check power and connections.,heart,monitor,arrhythmia,diagnostic,
defibrillator,Defibrillator,Therapeutic,Delivers an electric shock to the heart to restore normal rhythm during cardiac arrest.,Turn on the defibrillator.,Attach adhesive pads to the patient's bare chest.,Follow voice prompts or screen instructions.,Ensure no one is touching the patient.,Press the shock button when advised.,Do not use near water.,Ensure bystanders are clear before delivering shock.,Check battery and pads regularly.,Run self-test weekly.,Pads not sticking: Use new pads.,Device not powering on: Replace battery.,cardiac arrest,shock,emergency,AED,
pulse_oximeter,Pulse Oximeter,Monitoring,Measures blood oxygen saturation and pulse rate noninvasively.,Clean the sensor before use.,Clip the device onto the patient's fingertip.,Wait for the reading to stabilize.,Record SpO2 and pulse rate values.,,Do not use on wet or cold fingers.,Avoid strong ambient light.,Replace batteries as needed.,Clean sensor after each use.,No reading: Reposition the sensor.,Inaccurate reading: Warm the patient's hand.,oxygen,saturation,pulse,monitor,
infusion_pump,Infusion Pump,Therapeutic,"Delivers fluids, medication, or nutrients into a patient's circulatory system in controlled amounts.",Load the infusion set as per instructions.,Prime the tubing to remove air.,Set the desired infusion rate.,Connect to the patient's IV access.,Start the infusion and monitor for alarms.,Check for air bubbles before starting.,Ensure correct medication and dosage.,Clean the pump exterior regularly.,Check for software updates.,Occlusion alarm: Check tubing for kinks.,Low battery: Connect to power supply.,IV,medication,fluid,pump,
sphygmomanometer,Sphygmomanometer,Diagnostic,Measures blood pressure using an inflatable cuff and a pressure gauge.,Wrap the cuff around the patient's upper arm.,Inflate the cuff by squeezing the bulb.,Slowly release air and listen for Korotkoff sounds.,Read systolic and diastolic pressures from the gauge.,,Do not over-inflate the cuff.,Ensure the cuff is the correct size.,Check for leaks in the tubing.,Calibrate the gauge annually.,Inaccurate reading: Reposition the cuff.,No sound: Check stethoscope placement.,blood pressure,cuff,diagnostic,gauge,
ventilator,Ventilator,Life Support,Provides mechanical ventilation by moving breathable air into and out of the lungs.,Connect the ventilator to a power source and oxygen supply.,Set the required ventilation parameters.,Attach the breathing circuit to the patient.,Monitor patient and ventilator alarms continuously.,,Ensure all connections are secure.,Regularly check for blockages in the circuit.,Clean and sterilize reusable parts after each use.,Perform routine maintenance as per manufacturer guidelines.,Alarm sounds: Check patient and circuit.,Low pressure: Inspect for leaks.,respirator,breathing,ICU,life support,
glucometer,Glucometer,Diagnostic,Measures the approximate concentration of glucose in the blood.,Insert a test strip into the glucometer.,Prick the patient's finger with a lancet.,Apply a drop of blood to the test strip.,Wait for the reading to appear on the display.,,Use a new lancet for each test.,Dispose of used strips and lancets safely.,Keep the device clean and dry.,Replace batteries as needed.,Error code: Refer to manual.,Low battery: Replace batteries.,blood sugar,diabetes,test,diagnostic,
nebulizer,Nebulizer,Therapeutic,Converts liquid medication into a mist for inhalation to treat respiratory conditions.,Assemble the nebulizer and add prescribed medication.,Connect the mouthpiece or mask.,Turn on the device and inhale the mist until the medication is finished.,,,Clean the nebulizer after each use.,Do not share mouthpieces or masks.,Disinfect parts regularly.,Replace filters as recommended.,No mist: Check medication and connections.,Unusual noise: Inspect for blockages.,asthma,inhalation,respiratory,therapy,
syringe_pump,Syringe Pump,Therapeutic,Delivers small amounts of fluid at a controlled rate through a syringe.,Load the syringe into the pump.,Set the infusion rate and volume.,Connect to the patient's IV access.,Start the pump and monitor for alarms.,,Ensure correct syringe size is used.,Check for air bubbles before starting.,Clean the pump after each use.,Check for mechanical issues regularly.,Occlusion alarm: Check for blockages.,Low battery: Connect to power.,infusion,IV,fluid,pump,
thermometer,Digital Thermometer,Diagnostic,Measures body temperature quickly and accurately.,Turn on the thermometer.,"Place the probe under the tongue, armpit, or rectum as appropriate.",Wait for the beep indicating measurement is complete.,Read and record the temperature.,,Disinfect the probe after each use.,Do not immerse the device in water.,Replace batteries as needed.,Store in a dry place.,Low battery: Replace batteries.,Error reading: Ensure proper placement.,temperature,fever,diagnostic,measurement,
